ranking,Youtuber,subscribers,category,channel_type,video_views,Title,Country,video_views_for_the_last_30_days,highest_yearly_earnings,lowest_yearly_earnings,subscribers_for_last_30_days,Population,Latitude,Longitude,date_created,Urban_population
42,"Taylor Swift",52900000,Music,Music,29884657286,"Taylor Swift","United States",528392000,25400000,1600000,800000,328239523,37.09024,-95.712891,2006-09-20,270663028
43,"Ariana Grande",52700000,Music,Music,24004842608,"Ariana Grande","United States",160216000,7700000,480600,100000,328239523,37.09024,-95.712891,2007-01-22,270663028
44,"BillionSurpriseToys  - Nursery Rhymes & Cartoons",52200000,Education,Education,9877365274,"BillionSurpriseToys  - Nursery Rhymes & Cart","United States",266747000,12800000,800200,600000,328239523,37.09024,-95.712891,2013-10-25,270663028
45,JuegaGerman,48100000,Gaming,Games,14631710289,JuegaGerman,Chile,66388000,3200000,199200,200000,18952038,-35.675147,-71.542969,2013-05-19,16610135
46,"Billie Eilish",47900000,Music,Music,13626331061,"Billie Eilish","United States",146862000,7000000,440600,200000,328239523,37.09024,-95.712891,2013-02-06,270663028
47,"Get Movies",47500000,Entertainment,Film,30788679536,"Get Movies",Russia,306540000,14700000,919600,700000,144373535,61.52401,105.318756,2006-12-16,107683889
48,Shemaroo,47400000,Entertainment,Entertainment,22519705183,Shemaroo,India,232744000,11200000,698200,500000,1366417754,20.593684,78.96288,2007-09-01,471031528
50,SonyMusicIndiaVEVO,46600000,Music,Music,27286058807,SonyMusicIndiaVEVO,"United States",314505000,15100000,943500,400000,328239523,37.09024,-95.712891,2009-09-02,270663028
51,A4,46300000,Gaming,People,22936630813,aefour,Cuba,94,5,0.28,10,11333483,21.521757,-77.781167,2006-03-11,8739135
53,Fernanfloo,46100000,Gaming,Games,10323391593,Fernanfloo,"El Salvador",33842000,1600000,101500,200000,6453553,13.794185,-88.89653,2011-05-02,4694702
54,"Voot Kids",45500000,Entertainment,Entertainment,21388725229,"Voot Kids",India,233988000,11200000,702000,400000,1366417754,20.593684,78.96288,2016-11-23,471031528
55,"Felipe Neto",45200000,Entertainment,Entertainment,16602198273,"Felipe Neto",Brazil,130359000,6300000,391100,200000,212559417,-14.235004,-51.92528,2006-05-16,183241641
